ID,Group,Pre_Framework,Pre_CaseFacts,WritingTest1,Post_Framework,Post_CaseFacts,WritingTest2
P06_F22,Gloss_Second,2,2,0.23,3,2,0.83
P01_F22,Gloss_Second,3,2,0.75,2,3,1
P13_F22,Gloss_Second,2,1,0.25,2,3,0.92
P04_F22,Gloss_First,2,1,0.25,3,3,0.83
P11_F22,Gloss_Second,2,1,0.17,2,3,1
P03_F22,Gloss_First,2,2,0.5,3,3,1
P14_F22,Gloss_First,2,2,0.5,1,3,1
P10_F22,Gloss_Second,2,2,0.37,3,2,0.83
P17_F22,Gloss_First,2,2,0.92,1,2,0.5
P05_F22,Gloss_Second,2,1,0.42,3,3,0.75
P15_F22,Gloss_First,2,1,0.17,2,2,0.58
P08_F22,Gloss_First,2,2,0.75,1,2,0.42
P07_F22,Gloss_First,2,2,0.58,3,2,0.67
P12_F22,Gloss_First,2,2,0.5,2,2,0.83
P02_F22,Gloss_Second,2,1,0.5,2,2,0.75
P09_F22,Gloss_First,2,2,0.58,2,1,0.33
P16_F22,Gloss_First,2,2,0.25,2,2,0.75
P04_F23,Gloss_First,2,1,0.17,3,2,0.67
P05_F23,Gloss_First,1,1,0,2,2,0.67
P06_F23,Gloss_First,2,2,0.58,3,2,0.75
P07_F23,Gloss_First,2,3,0.42,3,3,0.75
P08_F23,Gloss_First,2,2,0.58,3,2,0.75
P09_F23,Gloss_First,2,3,0.58,2,2,0.58
P10_F23,Gloss_First,2,3,0.58,2,2,0.58
P11_F23,Gloss_First,2,3,0.33,2,2,0.67
P19_F23,Gloss_Second,2,1,0.33,2,1,0.5
P12_F23,Gloss_Second,1,2,0.25,3,1,0.5
P13_F23,Gloss_Second,2,1,0.17,2,2,0.58
P14_F23,Gloss_Second,2,3,0.67,3,3,0.75
P15_F23,Gloss_Second,2,1,0.25,2,2,0.5
P16_F23,Gloss_Second,3,2,0.42,2,2,0.67
P17_F23,Gloss_Second,0,0,0,3,1,0
P18_F23,Gloss_Second,2,2,0.83,2,3,0.83
